substance,band,channel,n,F,p_anova,slope,t_slope,p_slope,p_anova_fdr,p_slope_fdr
Sucrose,theta,O1,23,,,5.957644934294141e-05,0.08942143129608873,0.9295560792053951,1.0,0.9795107285217206
Sucrose,theta,O2,23,,,8.791762959106428e-05,0.1340822670987316,0.8945565692684557,1.0,0.9795107285217206
Sucrose,theta,F7,23,,,0.00031642752312224505,0.5140683510401389,0.612329471396614,1.0,0.9795107285217206
Sucrose,theta,F8,23,,,0.0004051204506103048,0.4563217261599356,0.6526316062785991,1.0,0.9795107285217206
Sucrose,theta,T7,23,,,-6.370430598027775e-05,-0.1319312321125529,0.8962378470476186,1.0,0.9795107285217206
Sucrose,theta,T8,23,,,0.00017566647514580974,0.34150320485612196,0.7359651557301997,1.0,0.9795107285217206
Sucrose,theta,P7,23,,,0.0007156132613841019,1.5270853483021907,0.14098995044133017,1.0,0.9795107285217206
Sucrose,theta,P8,23,,,-5.8867828806331987e-05,-0.06871379463746184,0.9458381648488097,1.0,0.9795107285217206
Sucrose,alpha,Fp1,23,,,0.00039474719517025055,0.5989034845785157,0.555354666581786,1.0,0.9753346054205474
Sucrose,alpha,Fp2,23,,,0.00023536930025067516,0.3846616041579041,0.7041814919309097,1.0,0.9753346054205474
Sucrose,alpha,F3,23,,,-1.4482804787476349e-05,-0.022980162089266308,0.9818732594028062,1.0,0.9818732594028062
Sucrose,alpha,F4,23,,,0.00020270318760877646,0.344741440509934,0.7335626817667115,1.0,0.9753346054205474
Sucrose,alpha,C3,23,,,-0.0003307537147508118,-0.6382009958353085,0.5299306972765132,1.0,0.9753346054205474
Sucrose,alpha,C4,23,,,-0.00010898890297186771,-0.1476027815917187,0.8840006708733662,1.0,0.9753346054205474
Sucrose,alpha,P3,23,,,0.00042909836722187996,0.8195715853477679,0.4212510356598556,1.0,0.9753346054205474
Sucrose,alpha,P4,23,,,0.0004105248626752745,0.6538651896345009,0.5199754523410139,1.0,0.9753346054205474
Sucrose,alpha,O1,23,,,-0.00029836664105453936,-0.5229839932397036,0.6062131530421057,1.0,0.9753346054205474
Sucrose,alpha,O2,23,,,0.00017361698473620016,0.30898121255208205,0.7602429523575089,1.0,0.9753346054205474
Sucrose,alpha,F7,23,,,-0.00021617526921022655,-0.3165369520193119,0.7545789246050882,1.0,0.9753346054205474
Sucrose,alpha,F8,23,,,-8.190547553593892e-05,-0.10876326236104453,0.9143761925817632,1.0,0.9753346054205474
Sucrose,alpha,T7,23,,,0.0003323719437794108,0.6711747277926895,0.5090955547056312,1.0,0.9753346054205474
Sucrose,alpha,T8,23,,,0.0001803530046644632,0.30951748194520207,0.7598404895154895,1.0,0.9753346054205474
Sucrose,alpha,P7,23,,,-7.269407158508712e-05,-0.13506052547864894,0.8937921164667997,1.0,0.9753346054205474
Sucrose,alpha,P8,23,,,0.00017839417241874938,0.27866359676269165,0.7831055499309986,1.0,0.9753346054205474
Sucrose,beta,Fp1,23,,,0.0008208596430095196,0.47514937301592675,0.6393638802699138,1.0,0.9153218812518432
Sucrose,beta,Fp2,23,,,0.0013492811135325702,0.913993473009019,0.37062924540834363,1.0,0.9153218812518432
Sucrose,beta,F3,23,,,-0.0012047176263861143,-0.8913664124996366,0.3823781153635685,1.0,0.9153218812518432
Sucrose,beta,F4,23,,,0.00030298843549049313,0.22635258686115317,0.8230170478636738,1.0,0.9153218812518432
Sucrose,beta,C3,23,,,-0.0011191264334914593,-1.0282249015510596,0.31501698379284837,1.0,0.9153218812518432
Sucrose,beta,C4,23,,,-0.0005728814232019643,-0.46324612580733904,0.6477380414438008,1.0,0.9153218812518432
Sucrose,beta,P3,23,,,3.338500638866981e-05,0.03416662662937971,0.9730523830396974,1.0,0.9730523830396974
Sucrose,beta,P4,23,,,-0.0014023539477377779,-0.9455272762106854,0.35465967980720264,1.0,0.9153218812518432
Sucrose,beta,O1,23,,,-0.0002991480621629431,-0.49368996918517616,0.6264178932065617,1.0,0.9153218812518432
Sucrose,beta,O2,23,,,0.0002813859007922529,0.18088450008875173,0.858114263673603,1.0,0.9153218812518432
Sucrose,beta,F7,23,,,-0.00023752238506525122,-0.20032992301304484,0.843062889899224,1.0,0.9153218812518432
Sucrose,beta,F8,23,,,-0.0017380656255817192,-1.3045187212018499,0.20553948468281516,1.0,0.9153218812518432
Sucrose,beta,T7,23,,,0.0003415710290592423,0.3250319299683956,0.7482276425485435,1.0,0.9153218812518432
Sucrose,beta,T8,23,,,-0.0004896822759519298,-0.3242250127932481,0.7488301587361434,1.0,0.9153218812518432
Sucrose,beta,P7,23,,,0.0004187387355687557,0.3597928580039734,0.7224328554793643,1.0,0.9153218812518432
Sucrose,beta,P8,23,,,-0.0006524892829023888,-0.555999713273485,0.5838221726400096,1.0,0.9153218812518432
Sucrose,gamma,Fp1,23,,,-0.0005943208302802549,-0.3820679837368662,0.7060767109544155,1.0,0.8980468798265756
Sucrose,gamma,Fp2,23,,,0.0012011552382892312,0.8797355146880376,0.3885113797580509,1.0,0.8980468798265756
Sucrose,gamma,F3,23,,,0.0006877793379951085,0.6221275336206459,0.5402527731478401,1.0,0.8980468798265756
Sucrose,gamma,F4,23,,,-0.0004548204714722346,-0.40467602125234314,0.6896233186517737,1.0,0.8980468798265756
Sucrose,gamma,C3,23,,,-0.00015329652613884793,-0.1296174584488616,0.8980468798265756,1.0,0.8980468798265756
Sucrose,gamma,C4,23,,,-0.00019795818666904676,-0.15991184381131723,0.8744096538614621,1.0,0.8980468798265756
Sucrose,gamma,P3,23,,,-0.00037709495286634856,-0.3569560059165224,0.7245258667009512,1.0,0.8980468798265756
Sucrose,gamma,P4,23,,,-0.0004490070328118166,-0.2914228601822062,0.7734579721182634,1.0,0.8980468798265756
Sucrose,gamma,O1,23,,,-0.0007817527879810219,-0.9729603330102898,0.34115011921212207,1.0,0.8980468798265756
Sucrose,gamma,O2,23,,,0.000992585333052147,0.857636292202551,0.4003402614906017,1.0,0.8980468798265756
Sucrose,gamma,F7,23,,,0.00013601225011346395,0.14035247332190764,0.8896586108571495,1.0,0.8980468798265756
Sucrose,gamma,F8,23,,,0.0010565849323017982,0.7505148563410085,0.4608970127062409,1.0,0.8980468798265756
Sucrose,gamma,T7,23,,,-0.0004804909448569183,-0.5522287675307221,0.5863586709173623,1.0,0.8980468798265756
Sucrose,gamma,T8,23,,,-0.00019141758954323212,-0.14634549537876215,0.8849813777610894,1.0,0.8980468798265756
Sucrose,gamma,P7,23,,,0.0008775057536849277,0.6799954063839421,0.503600730849215,1.0,0.8980468798265756
Sucrose,gamma,P8,23,,,0.0008992264244969394,0.6871684776842417,0.4991570747798252,1.0,0.8980468798265756
Sucralose,delta,Fp1,23,,,-0.000142015350567268,-0.07023673663553272,0.9446397856533411,1.0,0.9446397856533411
Sucralose,delta,Fp2,23,,,-0.0033440935891676884,-1.0719633339170023,0.29535549929070587,1.0,0.9185147992018868
Sucralose,delta,F3,23,,,-0.0009466945772928985,-0.5733234458510102,0.5722402389417062,1.0,0.9185147992018868
Sucralose,delta,F4,23,,,-0.0009907730316932803,-0.42323351493259204,0.676233644255775,1.0,0.9185147992018868
Sucralose,delta,C3,23,,,0.0012612126945264093,0.8133221980348118,0.424748590112853,1.0,0.9185147992018868
Sucralose,delta,C4,23,,,-0.0005180744476798914,-0.2600788099133596,0.797221584654059,1.0,0.9185147992018868
Sucralose,delta,P3,23,,,-0.000610619819340153,-0.3495604953006216,0.7299925520852012,1.0,0.9185147992018868
Sucralose,delta,P4,23,,,-0.0006692362685052387,-0.3703070555913052,0.7146950194531826,1.0,0.9185147992018868
Sucralose,delta,O1,23,,,-0.00021635069344386857,-0.17702600758346126,0.8611076242517689,1.0,0.9185147992018868
Sucralose,delta,O2,23,,,0.0006333755336193217,0.2253247538675803,0.823806569302913,1.0,0.9185147992018868
Sucralose,delta,F7,23,,,0.0005097095595005806,0.3565675981545299,0.7248126033377372,1.0,0.9185147992018868
Sucralose,delta,F8,23,,,-0.0018284454558219474,-0.9477495595571956,0.3535520257312082,1.0,0.9185147992018868
Sucralose,delta,T7,23,,,0.0004128823662331527,0.20491514474370243,0.8395224695119794,1.0,0.9185147992018868
Sucralose,delta,T8,23,,,-0.0034249864279007987,-1.3357892536024731,0.19527355254728523,1.0,0.9185147992018868
Sucralose,delta,P7,23,,,-0.0002679624811295727,-0.17988262444248607,0.8588912960254818,1.0,0.9185147992018868
Sucralose,delta,P8,23,,,-0.0026394345220277643,-1.059227521888331,0.3009878393724192,1.0,0.9185147992018868
Sucralose,theta,Fp1,23,,,-0.0010733291835689047,-1.6472853349404823,0.11371007370957471,1.0,0.3638722358706391
Sucralose,theta,Fp2,23,,,0.00023570801963093414,0.22320974627731852,0.8254317941171765,1.0,0.9942502934624977
Sucralose,theta,F3,23,,,-0.0008279098879412551,-1.1828276445472015,0.2495031140608367,1.0,0.5702928321390554
Sucralose,theta,F4,23,,,-0.0015924210279480515,-2.05102563508995,0.05236069359889022,1.0,0.26787315313026433
Sucralose,theta,C3,23,,,-0.0006942147680978446,-1.927186068601343,0.06696828828256608,1.0,0.26787315313026433
Sucralose,theta,C4,23,,,-0.0005158227131357456,-0.6878687955061512,0.49872443026644314,1.0,0.7340698922031347
Sucralose,theta,P3,23,,,8.117910431946746e-05,0.12746033710084556,0.8997339441825624,1.0,0.9942502934624977
Sucralose,theta,P4,23,,,-0.0006237842502420103,-0.7056472435183513,0.4878129031427602,1.0,0.7340698922031347
Sucralose,theta,O1,23,,,-0.0003504948720963382,-0.5341747511077297,0.5985776785092408,1.0,0.7981035713456545
Sucralose,theta,O2,23,,,-0.0006511230747414644,-0.7861014620959778,0.44019352630901853,1.0,0.7340698922031347
Sucralose,theta,F7,23,,,-0.0013668057999646891,-2.6034914975964023,0.016219578487899095,1.0,0.2595132558063855
Sucralose,theta,F8,23,,,-0.0006567122733249636,-0.678269804126819,0.5046730508896551,1.0,0.7340698922031347
Sucralose,theta,T7,23,,,-0.0007708659756646437,-1.2497638015235373,0.22451815310522386,1.0,0.5702928321390554
Sucralose,theta,T8,23,,,-9.895474890412462e-06,-0.007288583052110399,0.9942502934624977,1.0,0.9942502934624977
Sucralose,theta,P7,23,,,-0.0014682249779436084,-2.22221340557209,0.03686322335672043,1.0,0.26787315313026433
Sucralose,theta,P8,23,,,1.7437747886030333e-05,0.01915213031925757,0.9848923844637747,1.0,0.9942502934624977
Sucralose,alpha,Fp1,23,,,-9.270549862168905e-05,-0.21027658604961558,0.8353871064623227,1.0,0.9661505317406317
Sucralose,alpha,Fp2,23,,,0.0002747503324249337,0.39529825489975234,0.6964296893799597,1.0,0.9661505317406317
Sucralose,alpha,F3,23,,,0.0005465964689171192,1.394147965643048,0.17719504743829925,1.0,0.9661505317406317
Sucralose,alpha,F4,23,,,2.538727160218067e-05,0.04292246464216779,0.9661505317406317,1.0,0.9661505317406317
Sucralose,alpha,C3,23,,,0.0002963902705171099,0.5544369079815613,0.5848727186876036,1.0,0.9661505317406317
Sucralose,alpha,C4,23,,,9.820646615514236e-05,0.14687952228605491,0.8845648036131452,1.0,0.9661505317406317
Sucralose,alpha,P3,23,,,7.168012446107676e-05,0.1363136928158604,0.8928129923241637,1.0,0.9661505317406317
Sucralose,alpha,P4,23,,,-2.9430212924819602e-05,-0.053328083227951156,0.9579517996020901,1.0,0.9661505317406317
Sucralose,alpha,O1,23,,,0.00033799114786122283,0.6018553406760914,0.5534229870023919,1.0,0.9661505317406317
Sucralose,alpha,O2,23,,,-7.084202808826024e-05,-0.132553245574015,0.8957516214035167,1.0,0.9661505317406317
Sucralose,alpha,F7,23,,,-0.00011901069314827085,-0.21701740422736016,0.8301947212938395,1.0,0.9661505317406317
Sucralose,alpha,F8,23,,,0.0004407915094635083,0.6850793754010581,0.5004489527406744,1.0,0.9661505317406317
Sucralose,alpha,T7,23,,,0.0012942914082219267,2.2590304197545588,0.03413085549386281,1.0,0.546093687901805
Sucralose,alpha,T8,23,,,0.00044298590617624755,0.6083185662598763,0.5492058130879958,1.0,0.9661505317406317
Sucralose,alpha,P7,23,,,0.0005874739530770484,0.9086134619779361,0.37340083462203205,1.0,0.9661505317406317
Sucralose,alpha,P8,23,,,0.0009544407283474788,0.9467035907104759,0.35407307705033747,1.0,0.9661505317406317
Sucralose,beta,Fp1,23,,,0.0019975174237975572,1.6981568225066102,0.10357958881713272,1.0,0.4827601516439074
Sucralose,beta,Fp2,23,,,0.002317921929663186,1.650495602658819,0.11304696302168228,1.0,0.4827601516439074
Sucralose,beta,F3,23,,,0.0011606398651146362,0.9980156492749274,0.3291230857021145,1.0,0.5851077079148702
Sucralose,beta,F4,23,,,0.0018858094177105174,1.278191243472205,0.214503712913729,1.0,0.4902942009456663
Sucralose,beta,C3,23,,,0.00020806849241971218,0.2291737167671128,0.8208510071124375,1.0,0.8208510071124375
Sucralose,beta,C4,23,,,0.000933369682866512,0.6706485619563416,0.5094243872978684,1.0,0.6269838612896842
Sucralose,beta,P3,23,,,0.0008643749728654433,0.7728360048694668,0.44784365217911976,1.0,0.6269838612896842
Sucralose,beta,P4,23,,,0.002345699155451997,1.6209873054417567,0.11926635252087613,1.0,0.4827601516439074
Sucralose,beta,O1,23,,,0.0002582360748585737,0.2507262522056364,0.8043525596279895,1.0,0.8208510071124375
Sucralose,beta,O2,23,,,0.001123677740550546,0.6980122837366445,0.4924819191744622,1.0,0.6269838612896842
Sucralose,beta,F7,23,,,0.0007794243676546849,0.8955491701860446,0.3801880402145165,1.0,0.6083008643432264
Sucralose,beta,F8,23,,,0.0015056724881489666,1.3214760568988577,0.19992155754761481,1.0,0.4902942009456663
Sucralose,beta,T7,23,,,-0.0017481074621680834,-1.6144146554182848,0.12069003791097685,1.0,0.4827601516439074
Sucralose,beta,T8,23,,,0.001958826749275068,1.0776385828436412,0.29287010706454375,1.0,0.5851077079148702
Sucralose,beta,P7,23,,,-0.00031587828467950703,-0.29174407357506865,0.7732155701216296,1.0,0.8208510071124375
Sucralose,beta,P8,23,,,0.001994244048500404,1.3392963073401758,0.19414770510581134,1.0,0.4902942009456663
Sucralose,gamma,Fp1,23,,,-0.000689467391039707,-0.5807178968813544,0.5673323807622384,1.0,0.9981583209113315
Sucralose,gamma,Fp2,23,,,0.000515713307448629,0.3751365846724498,0.7111511923041243,1.0,0.9981583209113315
Sucralose,gamma,F3,23,,,6.736813120240778e-05,0.05912094672737311,0.9533895225051449,1.0,0.9981583209113315
Sucralose,gamma,F4,23,,,0.0006719973703286384,0.5981978051916166,0.5558169807260964,1.0,0.9981583209113315
Sucralose,gamma,C3,23,,,-0.0010714566893653959,-1.0940208149777975,0.2857800916921348,1.0,0.9981583209113315
Sucralose,gamma,C4,23,,,2.32101179396734e-06,0.0023345747133128526,0.9981583209113315,1.0,0.9981583209113315
Sucralose,gamma,P3,23,,,-0.00040661438230584455,-0.4715549706501543,0.6418875022988548,1.0,0.9981583209113315
Sucralose,gamma,P4,23,,,-0.0010232484237799263,-1.415764158536195,0.17084671055716094,1.0,0.9981583209113315
Sucralose,gamma,O1,23,,,-2.9381657179597022e-05,-0.03502735701123693,0.9723738015804517,1.0,0.9981583209113315
Sucralose,gamma,O2,23,,,-0.0010350881713401443,-0.8014500878794477,0.4314427701900679,1.0,0.9981583209113315
Sucralose,gamma,F7,23,,,0.00019668256595768686,0.21062618313929765,0.8351176243478651,1.0,0.9981583209113315
Sucralose,gamma,F8,23,,,0.0005386937315344216,0.4860947688345502,0.6317066925706003,1.0,0.9981583209113315
Sucralose,gamma,T7,23,,,0.0008117996633776465,0.8398181783625982,0.4100444204456442,1.0,0.9981583209113315
Sucralose,gamma,T8,23,,,0.0010330692473399061,0.9376365651937506,0.35861156152644325,1.0,0.9981583209113315
Sucralose,gamma,P7,23,,,0.0014645917906756232,1.6141703847676006,0.12074322167805125,1.0,0.9981583209113315
Sucralose,gamma,P8,23,,,-0.00032668800270615545,-0.2500541482310732,0.804865693124954,1.0,0.9981583209113315
